epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,12049,0.58164,0.76797,0.45171,0.87675,0.97228,0.98752,0.9906,0.90626,0.97228,0.98752,0.9906,0.88178,0.46898,0.64881,0.3352,0.86776,0.001684,0.001684,0.001684
86,12180.8,0.56701,0.77726,0.45794,0.87611,0.97487,0.98587,0.9876,0.90004,0.97487,0.98587,0.9876,0.87794,0.46579,0.65094,0.34907,0.86485,0.001585,0.001585,0.001585
87,12314.3,0.56068,0.76508,0.42422,0.87015,0.97332,0.98805,0.98834,0.8936,0.97332,0.98805,0.98834,0.8788,0.46712,0.65928,0.34303,0.86538,0.001486,0.001486,0.001486
88,12448.5,0.55684,0.76627,0.44433,0.88095,0.9744,0.98714,0.98995,0.90524,0.9744,0.98714,0.98995,0.88319,0.46672,0.64749,0.34145,0.86533,0.001387,0.001387,0.001387
89,12584.1,0.54598,0.75175,0.432,0.8742,0.96782,0.98689,0.99051,0.91154,0.96782,0.98689,0.99051,0.88402,0.4613,0.64305,0.35304,0.86366,0.001288,0.001288,0.001288
90,12718.8,0.5651,0.75819,0.43809,0.87601,0.96921,0.98762,0.98916,0.90718,0.96921,0.98762,0.98916,0.88463,0.4682,0.64184,0.3583,0.86618,0.001189,0.001189,0.001189
91,12847.6,0.54663,0.76487,0.38783,0.8731,0.97206,0.98401,0.98978,0.90629,0.97206,0.98401,0.98978,0.88198,0.4574,0.64378,0.34194,0.86247,0.00109,0.00109,0.00109
92,12974.9,0.52873,0.74323,0.38602,0.8704,0.97414,0.98377,0.98633,0.90554,0.97414,0.98377,0.98633,0.87852,0.45271,0.6427,0.34554,0.85986,0.000991,0.000991,0.000991
93,13101.6,0.53762,0.75911,0.38792,0.86894,0.97269,0.98721,0.98755,0.90696,0.97269,0.98721,0.98755,0.88294,0.45052,0.64301,0.34363,0.86042,0.000892,0.000892,0.000892
94,13227,0.54818,0.75319,0.38914,0.87794,0.97508,0.98853,0.99028,0.91361,0.97508,0.98853,0.99028,0.88626,0.45457,0.64381,0.32416,0.86205,0.000793,0.000793,0.000793
95,13354.7,0.53786,0.76668,0.36666,0.86469,0.97535,0.98381,0.98995,0.91344,0.97535,0.98381,0.98995,0.88288,0.46058,0.63845,0.32057,0.86665,0.000694,0.000694,0.000694
96,13484.7,0.50938,0.72835,0.36518,0.86553,0.97514,0.9888,0.98902,0.91453,0.97514,0.9888,0.98902,0.8822,0.44646,0.63378,0.31716,0.86292,0.000595,0.000595,0.000595
97,13611.9,0.51345,0.73392,0.35921,0.86834,0.97735,0.98708,0.98993,0.91339,0.97735,0.98708,0.98993,0.8828,0.44723,0.62983,0.31868,0.86443,0.000496,0.000496,0.000496
98,13742.5,0.51799,0.7485,0.35903,0.86408,0.97523,0.98658,0.99081,0.91628,0.97523,0.98658,0.99081,0.88713,0.44153,0.62886,0.32058,0.86071,0.000397,0.000397,0.000397
99,13870.2,0.52012,0.72475,0.36005,0.86758,0.97523,0.98479,0.99114,0.91642,0.97523,0.98479,0.99114,0.88637,0.43897,0.62875,0.32105,0.85764,0.000298,0.000298,0.000298
100,13996.5,0.52361,0.71412,0.36371,0.86181,0.97312,0.98603,0.99139,0.91847,0.97312,0.98603,0.99139,0.88833,0.43565,0.62866,0.31878,0.85653,0.000199,0.000199,0.000199
